Bandit,Reward,Algorithm
3,2.383411409900174,Epsilon Greedy
3,2.1780318761543485,Epsilon Greedy
3,5.287265411440163,Epsilon Greedy
3,4.1848434353330894,Epsilon Greedy
3,2.6716288933403223,Epsilon Greedy
3,3.144459058481708,Epsilon Greedy
3,5.299994655924808,Epsilon Greedy
3,3.6096425449949843,Epsilon Greedy
3,3.905577209594767,Epsilon Greedy
3,5.521490838714463,Epsilon Greedy
3,3.8088674108405334,Epsilon Greedy
3,5.515808820416124,Epsilon Greedy
3,3.3670488104951284,Epsilon Greedy
3,4.1670018116419225,Epsilon Greedy
3,4.839130290798025,Epsilon Greedy
3,2.298336031549154,Epsilon Greedy
3,3.8615015324730697,Epsilon Greedy
3,2.915094312836166,Epsilon Greedy
3,4.93983293835632,Epsilon Greedy
1,1.1092209673248072,Epsilon Greedy
3,5.581286699836076,Epsilon Greedy
3,4.4933217584334315,Epsilon Greedy
3,3.6620792653834155,Epsilon Greedy
3,3.959803837625928,Epsilon Greedy
3,3.3967760313343507,Epsilon Greedy
3,3.95753888673156,Epsilon Greedy
3,3.8236700315308787,Epsilon Greedy
3,4.748891808458828,Epsilon Greedy
3,4.005206052031161,Epsilon Greedy
3,3.968538779641458,Epsilon Greedy
3,2.6617743316482025,Epsilon Greedy
3,3.0726345611888357,Epsilon Greedy
3,3.6439719590457127,Epsilon Greedy
3,4.163846759185581,Epsilon Greedy
3,3.2192832385124515,Epsilon Greedy
3,3.8119007332942627,Epsilon Greedy
3,4.8888321641860735,Epsilon Greedy
3,4.49277876995819,Epsilon Greedy
3,5.169159288230853,Epsilon Greedy
3,5.554206757778538,Epsilon Greedy
3,3.6460762024787137,Epsilon Greedy
3,4.477198017980823,Epsilon Greedy
3,6.149124885122436,Epsilon Greedy
3,5.9422766877548865,Epsilon Greedy
3,3.48581066369207,Epsilon Greedy
3,4.798010521449825,Epsilon Greedy
3,5.253737764158234,Epsilon Greedy
3,2.8719130154690955,Epsilon Greedy
3,1.5025869623698394,Epsilon Greedy
3,4.040166798098303,Epsilon Greedy
3,5.147477356590002,Epsilon Greedy
3,3.184317691510553,Epsilon Greedy
3,3.764883809908468,Epsilon Greedy
3,5.427029336901175,Epsilon Greedy
3,2.1371225703710577,Epsilon Greedy
3,3.689022119383637,Epsilon Greedy
3,6.056601013016514,Epsilon Greedy
3,5.0603418456192495,Epsilon Greedy
3,3.4835561185853656,Epsilon Greedy
3,3.5801344109156634,Epsilon Greedy
1,2.3907618145167975,Epsilon Greedy
3,5.232414605380979,Epsilon Greedy
3,3.7993855075533904,Epsilon Greedy
3,3.4326047169715173,Epsilon Greedy
3,4.471023322269297,Epsilon Greedy
3,3.4498996378904145,Epsilon Greedy
3,3.254963047837988,Epsilon Greedy
3,6.2112337805345765,Epsilon Greedy
3,3.5762386565511655,Epsilon Greedy
3,4.914300609359536,Epsilon Greedy
3,4.449425466610447,Epsilon Greedy
3,3.2676452119540165,Epsilon Greedy
3,3.2847961968108548,Epsilon Greedy
3,6.044585948455692,Epsilon Greedy
3,4.251301574769776,Epsilon Greedy
3,3.4873768709219783,Epsilon Greedy
3,3.417076137901613,Epsilon Greedy
3,4.241809845865996,Epsilon Greedy
3,2.029491265827998,Epsilon Greedy
3,3.708337750618942,Epsilon Greedy
3,3.5862834332779956,Epsilon Greedy
3,4.585183894288294,Epsilon Greedy
3,4.892746179407837,Epsilon Greedy
3,3.901837396897216,Epsilon Greedy
3,2.8499323869479563,Epsilon Greedy
3,4.664393733131646,Epsilon Greedy
3,4.055184847126845,Epsilon Greedy
3,6.361261139577065,Epsilon Greedy
3,3.8414574143154545,Epsilon Greedy
3,3.5903190831833243,Epsilon Greedy
3,4.46727345508276,Epsilon Greedy
3,4.34272298348015,Epsilon Greedy
3,4.457646939848347,Epsilon Greedy
3,5.0866941594816035,Epsilon Greedy
3,4.506267695494597,Epsilon Greedy
3,5.412992855088544,Epsilon Greedy
3,3.2921302849913303,Epsilon Greedy
3,4.863172596201945,Epsilon Greedy
3,3.3619016841678393,Epsilon Greedy
3,4.438023119504697,Epsilon Greedy
3,3.5198966777400806,Epsilon Greedy
3,2.718693298318022,Epsilon Greedy
3,4.007312060460009,Epsilon Greedy
3,5.457770168585717,Epsilon Greedy
3,3.805596675600378,Epsilon Greedy
3,4.2618943624725425,Epsilon Greedy
3,2.9872816812857383,Epsilon Greedy
3,3.4024377371413923,Epsilon Greedy
3,3.1942689219362075,Epsilon Greedy
3,3.033597259249529,Epsilon Greedy
3,3.6960129819729732,Epsilon Greedy
3,4.295688755716498,Epsilon Greedy
3,4.411939968161195,Epsilon Greedy
3,5.070264601041017,Epsilon Greedy
3,4.453792232838657,Epsilon Greedy
3,4.0963695323165465,Epsilon Greedy
3,4.7039361723320665,Epsilon Greedy
3,4.0851517166630185,Epsilon Greedy
3,4.893491753851962,Epsilon Greedy
3,4.526890104369215,Epsilon Greedy
3,5.114480238028857,Epsilon Greedy
3,2.3630150028965264,Epsilon Greedy
3,5.537567519623304,Epsilon Greedy
3,2.574690792023886,Epsilon Greedy
3,2.748424800384921,Epsilon Greedy
3,2.559748105993514,Epsilon Greedy
3,3.149291217708707,Epsilon Greedy
3,4.066028867724782,Epsilon Greedy
3,4.128427349694481,Epsilon Greedy
3,2.8558215291671636,Epsilon Greedy
3,4.74297702727362,Epsilon Greedy
3,4.242144530526367,Epsilon Greedy
3,2.8047642523946985,Epsilon Greedy
3,4.975401761990613,Epsilon Greedy
3,3.9370451206072756,Epsilon Greedy
3,2.2973125971392765,Epsilon Greedy
3,4.64767391189765,Epsilon Greedy
3,3.335869393185617,Epsilon Greedy
3,4.328742543333534,Epsilon Greedy
3,3.8800447801192797,Epsilon Greedy
3,3.7185270235333436,Epsilon Greedy
3,4.343033827312404,Epsilon Greedy
3,3.4554142040769147,Epsilon Greedy
3,5.973330092393665,Epsilon Greedy
3,3.510262852026825,Epsilon Greedy
3,5.5512348239629405,Epsilon Greedy
3,3.559646464282909,Epsilon Greedy
3,3.995175331188793,Epsilon Greedy
3,4.535643423993452,Epsilon Greedy
3,5.089811493446002,Epsilon Greedy
3,4.4984186406757205,Epsilon Greedy
3,5.330632776079116,Epsilon Greedy
3,3.7725354384826018,Epsilon Greedy
3,4.875802893477085,Epsilon Greedy
3,5.2481326380830495,Epsilon Greedy
3,3.636770049197401,Epsilon Greedy
3,4.918467075236409,Epsilon Greedy
3,4.574215171278555,Epsilon Greedy
3,4.047766909663802,Epsilon Greedy
3,2.9952002043623374,Epsilon Greedy
3,3.9075318905684657,Epsilon Greedy
3,4.484442806233303,Epsilon Greedy
3,5.330862893159381,Epsilon Greedy
3,3.1221532875208373,Epsilon Greedy
3,4.503110180625723,Epsilon Greedy
3,3.808263912494581,Epsilon Greedy
3,3.0256197259548294,Epsilon Greedy
